code,ncode,seat,candidate,coalition,party,symbol,ballot_name,electorate,incumbent_2022,incumbent_party_2022,majority_2022
1_N.14,N.14,Bukit Naning,Mohd Ghazali Sabari,BN,UMNO,,Mohd Ghazali bin Sabari,23002,Datuk Mohd Fuad Tukirin,BN-UMNO,"1,535"
1_N.14,N.14,Bukit Naning,S Jegnanaathan,OTHERS,BEBAS,Gajah,,23002,Datuk Mohd Fuad Tukirin,BN-UMNO,"1,535"
1_N.15,N.15,Maharani,Muhammad Taqiuddin Cheman,PH,AMANAH,,Taqiuddin Cheman,40040,Abdul Aziz Talib,PN-Pas,"1,037"
1_N.15,N.15,Maharani,Muhammad Amir Fiqri,MUDA-PSM,MUDA,,Amir Jack,40040,Abdul Aziz Talib,PN-Pas,"1,037"
1_N.15,N.15,Maharani,Mohamad Anuar Hayan,PN,PAS,,Anuar Hayan,40040,Abdul Aziz Talib,PN-Pas,"1,037"
1_N.15,N.15,Maharani,Datuk Ashari Md Sarip,BN,UMNO,,Dato' Ashari,40040,Abdul Aziz Talib,PN-Pas,"1,037"
1_N.16,N.16,Sungai Balang,Ayna Soraya Badaruddin,PH,PKR,,,31039,Selamat Takim,BN-UMNO,"2,293"
1_N.16,N.16,Sungai Balang,Muhammad Amin Sailan,PN,PAS,,Amin Sailan,31039,Selamat Takim,BN-UMNO,"2,293"
1_N.16,N.16,Sungai Balang,Selamat Takim,BN,UMNO,,Cikgu Selamat Takim,31039,Selamat Takim,BN-UMNO,"2,293"
1_N.17,N.17,Semerah,Mohd Khuzzan Abu Bakar,PH,PKR,,Mohd Khuzzan bin Abu Bakar,47431,Mohd Fared Mohd Khalid,BN-UMNO,"4,041"
1_N.17,N.17,Semerah,Halim Kepol,PN,PAS,,Halim Kepol,47431,Mohd Fared Mohd Khalid,BN-UMNO,"4,041"
1_N.17,N.17,Semerah,Mohd Fared Mohd Khalid,BN,UMNO,,Fared Khalid,47431,Mohd Fared Mohd Khalid,BN-UMNO,"4,041"
1_N.18,N.18,Sri Medan,Hishamudin@Misrin Ishak,PH,PKR,,Cikgu Hishamuddin bin Ishak,33875,Datuk Zulkurnain Kamisan,BN-UMNO,"6,274"
1_N.18,N.18,Sri Medan,Ahmad Rosdi Bahari,PN,PAS,,Ustaz Rosdi,33875,Datuk Zulkurnain Kamisan,BN-UMNO,"6,274"
1_N.18,N.18,Sri Medan,Datuk Zulkurnain Kamisan,BN,UMNO,,,33875,Datuk Zulkurnain Kamisan,BN-UMNO,"6,274"
1_N.19,N.19,Yong Peng,Yong Hui Yi,PH,DAP,,,34023,Ling Tian Soon,BN-MCA,"2,741"
1_N.19,N.19,Yong Peng,Ling Tian Soon,BN,MCA,,Ah Soon,34023,Ling Tian Soon,BN-MCA,"2,741"
1_N.20,N.20,Semarang,Ramli Abd Hamid,PH,AMANAH,,,28753,Datuk Samsolbari Jamali,BN-UMNO,"5,846"
1_N.20,N.20,Semarang,Muhammad Syafiq Abdul Aziz,PN,BERSATU,,,28753,Datuk Samsolbari Jamali,BN-UMNO,"5,846"
1_N.20,N.20,Semarang,Datuk Samsolbari Jamali,BN,UMNO,,Datuk Samsolbari,28753,Datuk Samsolbari Jamali,BN-UMNO,"5,846"
1_N.21,N.21,Parit Yaani,Md Ezam Md Taslim,PH,AMANAH,,Md.Ezam Taslim,44741,Datuk Mohamad Najib Samuri,BN-UMNO,294
1_N.21,N.21,Parit Yaani,Datuk Mohamad Najib Samuri,BN,UMNO,,Najib Samuri,44741,Datuk Mohamad Najib Samuri,BN-UMNO,294
1_N.22,N.22,Parit Raja,Shazwan Dzainal Abidin,PH,DAP,,Shazwan Zdainal,38159,Nor Rashidah Ramli,BN-UMNO,"4,219"
1_N.22,N.22,Parit Raja,Dr Mohamed Maliki Mohamed Rapiee,PN,BERSATU,,Dr.Maliki,38159,Nor Rashidah Ramli,BN-UMNO,"4,219"
1_N.22,N.22,Parit Raja,Nor Rashidah Ramli,BN,UMNO,,Rashidah Ramli,38159,Nor Rashidah Ramli,BN-UMNO,"4,219"
1_N.23,N.23,Penggaram,Felicia Poh Rui Ling,PH,DAP,,,70294,Gan Peck Cheng,PH-DAP,"9,956"
1_N.23,N.23,Penggaram,Boo Chin Liong,BN,MCA,,CL Boo,70294,Gan Peck Cheng,PH-DAP,"9,956"
1_N.24,N.24,Senggarang,Onn Abu Bakar,PH,PKR,,,38576,Mohd Yusla Ismail,BN-UMNO,"3,912"
1_N.24,N.24,Senggarang,Datuk Mohd Rashid Hasnon,PN,BERSATU,,Dato' Rashid Hasnon,38576,Mohd Yusla Ismail,BN-UMNO,"3,912"
1_N.24,N.24,Senggarang,Mohd Yusla Ismail,BN,UMNO,,Yusla Ismail,38576,Mohd Yusla Ismail,BN-UMNO,"3,912"
1_N.25,N.25,Rengit,Mohamed Yazid Bakri,PH,AMANAH,,Hj Mohamad Yazid,27608,Datuk Dr Mohd Puad Zarkashi,BN-UMNO,"1,920"
1_N.25,N.25,Rengit,Syed Mohamad Syed Alwi,PN,BERSATU,,Syed Mohd,27608,Datuk Dr Mohd Puad Zarkashi,BN-UMNO,"1,920"
